user_id,age,family_size,electricity_bill,water_usage,daily_travel_km,waste_generated,vehicle_type,total_carbon_footprint
986,59,5,2097,622,23.6,18.7,Car,1878.19
987,45,2,1123,558,27.5,1,Public Transport,1008.54
988,52,4,1376,595,24.2,23.9,Bike,1293.33
989,50,3,1013,720,1.8,18.6,Bike,852.02
990,22,1,500,432,69.4,11.4,Car,853.35
991,32,3,979,547,37.4,15.8,Car,1046.85
992,18,5,1962,398,50.2,22.2,Car,1936.6
993,50,5,2054,478,89.9,29.8,Car,2266.03
994,30,4,1890,627,76.6,23.8,Car,2044.91
995,75,7,2521,823,56.9,39.3,Car,2446.16
996,36,6,2343,637,75.4,28.0,Car,2410.92
997,52,3,1619,495,41.9,31.7,Car,1607.89
998,51,4,1828,530,66.4,11.9,Electric Vehicle,1630.94
999,64,3,1682,373,63.6,13.6,Car,1787.09
1000,54,4,1186,465,32.3,9.0,Car,1180.97
